,D_atr14,D_cpr_width_pct,D_adx14,D_atr14_to_close_pct,D_atr30,D_atr_pct,D_atr_pct_z252,D_bb_bw_20,D_bb_pctB_20,D_breakout_high_20,D_breakout_high_50,D_breakout_low_20,D_breakout_low_50,D_close_roll_slope_20,D_close_roll_slope_50,D_cmf20,D_cpr_bc,D_cpr_pivot,D_cpr_tc,D_cpr_vs_yday_code,D_daily_trend,D_days_since_boh_20,D_days_since_bol_20,D_dollar_vol,D_donch_pos_20,D_donch_pos_50,D_dow,D_dvol_z20,D_dvol_z252,D_dvol_z50,D_ema20_angle_deg,D_ema20_angle_z252,D_gap_pct,D_inside_day,D_macd,D_macd_hist,D_macd_signal,D_mdi14,D_nr_day,D_nr_length,D_obv,D_obv_slope,D_oli,D_pdi14,D_pivot,D_prev_close,D_prev_high,D_prev_inside_day,D_prev_low,D_range_pct,D_range_to_atr14,D_resistance1,D_resistance2,D_ret_5d_roll_std,D_rsi14,D_rsi14_obv_x,D_rsi14_z252,D_rsi7,D_rsi7_gt_rsi14,D_rsi7_obv_x,D_support1,D_support2,D_tmr_cpr_bc,D_tmr_cpr_tc,D_tmr_cpr_vs_today_code,D_vol_surge_20,D_vol_surge_50,D_vol_yz_20,D_vol_yz_50,D_vol_z252,D_vpoc,D_weekly_vpoc,D_rsi14_lag1,D_rsi14_lag2,D_adx14_lag1,D_adx14_lag2,D_ema20_angle_deg_lag1,D_obv_slope_lag1,D_obv_slope_lag2,CPR_Yday_Above,CPR_Yday_Below,CPR_Yday_Inside,CPR_Yday_Overlap,CPR_Tmr_Above,CPR_Tmr_Below,CPR_Tmr_Inside,CPR_Tmr_Overlap,DayType_bullish,DayType_bearish,DayType_inside,regime_market_trend,regime_high_vol,regime_dispersion
D_atr14,1.0,0.03507466963726591,0.0006282373234613771,-0.09089671706844875,0.9690662248965848,-0.10059996496958287,0.1295438947682192,0.011478067890333085,-0.004800448947535494,0.0009293658819237207,0.004471491189464924,-0.003928828836924397,-0.006687913512527816,0.127782717556178,0.20512146327765343,0.16050757882045266,0.9506579331780697,0.9506249415908171,0.95058234502393,0.0039041670120397993,-0.01764308620294601,-0.0465174291113058,0.012349704149804616,0.6147439580124275,0.03803040511754921,0.06226035225645963,0.006034181835440833,-0.011496758585200632,-0.011125846152526849,-0.008340816846318889,0.011381723898566903,-0.03145744262571856,-0.12037602017920918,-0.034818851829622965,0.1877387208879932,0.014544115058440908,0.19587167384398987,0.04356448955094486,0.018377143847607715,0.014416565772826878,0.04070115948641039,-0.015096938142069976,-0.07072021483437757,-0.027764422734199008,0.9506249415908171,0.9504118245747895,0.9515625950777252,-0.037985798974340144,0.949336430867795,-0.019256827773755668,0.05887789520335068,0.9516041498669087,0.9525773979988308,-0.04759854749040349,0.009233180678395953,-0.017945807121206116,-0.03288019371818813,-0.006893587859572046,-0.009389912542204823,-0.019926580823399116,0.9494354915820289,0.9482103075622281,0.9506579331780697,0.95058234502393,0.0039041670120397993,-0.02971564662447812,-0.03950036171717506,-0.17229186395906018,-0.21111627924904156,-0.039994740336481066,0.9506249415908171,0.9506450166855854,0.016363991335222792,0.022193625227751583,0.003950586953242929,0.006752061773873553,0.02057250305853345,-0.009720645702945958,0.004085882160397012,,,,,,,,,,,,,,
D_cpr_width_pct,0.03507466963726591,1.0,0.008565821770424331,-0.12211852145315104,0.034842417763979346,-0.12233254509167552,-0.07413274627244104,-0.018910719805462058,0.29968456499640733,0.14794303969127598,0.12291356019975502,-0.11651251055386228,-0.09077957747568033,0.03959516387956943,0.010353368543337063,0.2194335174746707,0.05800321447737552,0.06047100368380352,0.06293862144494487,0.43955779014723606,0.23004471568172563,-0.06438541732110901,0.027564737608005402,0.1169030346735845,0.3076003726970537,0.21578576553086032,-0.010131642473989885,0.1340556301046908,0.09386429799465498,0.11778308950071126,0.27225418152744213,0.2622833610446992,-0.06658172642036145,-0.007995126437693227,0.042157408595994636,0.11269996801853002,0.012218003576128924,-0.04989287002035279,0.012012734365543868,0.014408512470833128,0.023944358614374286,0.5690415467431157,-0.41150262599173765,0.09473898778200072,0.06047100368380352,0.053707203381729865,0.05326807087744738,-0.011726488993947574,0.053788834389703076,-0.07108152424584711,0.010174638228694102,0.0630303156817475,0.060768528849223416,-0.04620066986375105,0.23987514428581672,0.5680897272955088,0.2340240256199348,0.33485611791410924,0.3325212780847521,0.5674882458373771,0.06283051305664748,0.06004891897993717,0.05800321447737552,0.06293862144494487,0.43955779014723606,0.11889365542965885,0.11824255549402699,-0.06631843320499267,-0.07288064280009543,0.07961031951016634,0.06047100368380352,0.05814663144389874,0.008452631268440439,0.008975899120101981,0.005392908583955873,0.00691004688019212,0.0037040646967130765,0.0008136153497171879,0.0018620442873905413,,,,,,,,,,,,,,
D_adx14,0.0006282373234613771,0.008565821770424331,1.0,0.11642944146570476,0.008297986743093832,0.10780076452737053,0.17799364359546718,0.35199054320244466,0.18508259723040543,0.1171471194126426,0.1906421050576682,-0.04853162468102385,-0.0008212281734931336,0.2198436636785062,0.24269059006343122,0.16633299069935767,-0.01892364302874433,-0.01889530501074796,-0.01886312361917237,0.030399557461242843,0.02602659387726682,-0.1929353217938053,0.2573754123972144,-0.01196186571499319,0.18513707960204037,0.26980166583004145,-0.000510506150193363,0.035916561514717685,0.2216729648604081,0.15232778216000306,0.24480441334552713,0.19224442342126177,0.053282791657839695,0.004617108424189571,0.26018078326056454,0.06584885849274,0.26243548921900367,-0.2576091185837075,-0.008899421558114082,-0.011922494264531808,-0.0831336443839964,0.029424344149667988,0.0037797224531362535,0.31595482760648624,-0.01889530501074796,-0.01942371335911389,-0.018685775065780737,0.0026387786852443904,-0.020508219742290838,0.08947561996864124,0.050916886361700706,-0.018108987127508358,-0.017412895024388524,0.11436877977435551,0.2926950114046523,0.03145082965050055,0.2314732445578968,0.20051716223328597,-0.0018191844865339246,0.03026125956465774,-0.01966011084240926,-0.020537016615052344,-0.01892364302874433,-0.01886312361917237,0.030399557461242843,-0.008947025092834371,0.03737083322782298,0.18493965734689666,0.12529493310611306,0.19889912986421293,-0.01889530501074796,-0.019140579956630474,0.30984250909244865,0.3234057096593325,0.9907405356766242,0.9718510397241661,0.26260010411756995,0.03852676715827114,0.041800615599960074,,,,,,,,,,,,,,
D_atr14_to_close_pct,-0.09089671706844875,-0.12211852145315104,0.11642944146570476,1.0,-0.14078338186891176,0.9945077383434553,0.4556176801256208,0.6737228790746922,-0.08038111764183803,-0.046263307812637496,-0.021659408277481546,0.04180257322332506,0.03558111958510539,-0.049486442669865946,0.005070957305410608,0.0037007872139939385,-0.32840874899902345,-0.32857623132690245,-0.3287491880549959,-0.04391965344777989,-0.053108877454952984,0.015882443583014515,-0.05166271611864081,-0.3153044583826251,-0.09053004403670416,-0.064540445825831,-0.0034209813226374793,-0.0025457423538526518,0.1988770689353739,0.05725184317053227,-0.007775337143215046,-0.07388743561961021,0.11110156769501878,0.00911886283758194,-0.03692714203743616,-0.05554031817407463,-0.01759845628236795,0.07597424743470145,0.019835076104523754,0.017987174233826553,-0.1514821578587037,-0.026387744493967986,-0.020738182670959754,-0.0006768764554317047,-0.32857623132690245,-0.32878822064310514,-0.324544000729307,0.0016564137016980857,-0.3323029605449886,0.6335442471749017,0.05287013483634221,-0.32500443583567107,-0.3212419430925966,0.7816582624499174,-0.07329470231170451,-0.027136019803271214,-0.07029219897503586,-0.09221597495820989,-0.07307117830598335,-0.026108088024883073,-0.3326710923435189,-0.33658125177027326,-0.32840874899902345,-0.3287491880549959,-0.04391965344777989,0.01821151588388179,0.04772450426228998,0.9041571551620189,0.8818498830652558,0.1865121997833483,-0.32857623132690245,-0.32805746023473503,-0.06800527759910327,-0.060842792125174204,0.11561767597542152,0.1143718774223791,-0.008432667100833971,-0.024894461059982033,-0.02535368639281156,,,,,,,,,,,,,,
D_atr30,0.9690662248965848,0.034842417763979346,0.008297986743093832,-0.14078338186891176,1.0,-0.150559528584446,0.0955794773630091,-0.03294755703187219,-0.012501911785042797,-0.0054322478782966215,-0.008330977997164245,-0.0008733480768140632,-0.009112308055992759,0.11878596348416202,0.1896071754344178,0.14062773566882214,0.93681460755937,0.9367818940896894,0.9367424515279114,0.0005633361760725185,-0.01764501089928213,-0.0077121862733605,0.01584882008249685,0.6012305394848676,0.030368085216818365,0.0470995875830475,0.0072653874153248005,-0.014342094542295772,-0.046026308899618625,-0.020429955884321744,-0.00020491938515204366,-0.04636270392814087,-0.12520850705881367,-0.03507230888342401,0.1728919349707805,0.015057950612204185,0.18071324631836913,0.064577291196044,0.017296752605425632,0.013015158626627409,0.07154056721860799,-0.017809810259088576,-0.0659955155616774,-0.02720645984499173,0.9367818940896894,0.9366516719492809,0.9374043338500397,-0.037754986802915586,0.9359984228220177,-0.05810264628651606,0.05121068185638318,0.9373701933439453,0.9379732357441641,-0.070265997603459,-5.727275841481084e-05,-0.02063310132733126,-0.049918629200297784,-0.012704996136175708,-0.011856937449558331,-0.022420703598205704,0.936020744089462,0.9352437982950473,0.93681460755937,0.9367424515279114,0.0005633361760725185,-0.03190809375636159,-0.045358348725364143,-0.2218690678687938,-0.23373179341357225,-0.060973325080303085,0.9367818940896894,0.9368579008090205,0.009344895323930746,0.016883511571431406,0.015679986201515762,0.022108211086814485,0.008879110215507077,-0.012824139837023792,0.001720887617444282,,,,,,,,,,,,,,
D_atr_pct,-0.10059996496958287,-0.12233254509167552,0.10780076452737053,0.9945077383434553,-0.150559528584446,1.0,0.4564974503207578,0.6788190158608306,-0.0830899025506535,-0.04737261626408321,-0.022081226118395858,0.04589384397977467,0.041841288947398574,-0.05235951179199768,0.0020846467373964407,0.0023926852285423923,-0.33071934296806516,-0.33088204449000724,-0.331050692659389,-0.04409993940231143,-0.05357452230770089,0.010532103226752014,-0.058329897052524574,-0.31676039220609253,-0.09379306930219569,-0.06797813816065987,-0.0029306378285846968,-0.0027506692740941743,0.2015736239522203,0.05782107969719586,-0.011231230023870529,-0.07442682131143911,0.10971716585775108,0.008506893507567313,-0.040199635657915574,-0.05799894813591247,-0.0208106951200339,0.06700030451104344,0.018872819353495694,0.01721948943544932,-0.15968248571393073,-0.026607507227221387,-0.02055318266251329,-0.009788005503032972,-0.33088204449000724,-0.33106007119506636,-0.32675707861504183,0.002101409495949293,-0.33463689584121714,0.6399735973789084,0.043929081362797,-0.32722657353884255,-0.32339496818851426,0.7858957709105397,-0.08269050375892614,-0.027499435570211696,-0.07075371754611841,-0.09668426060770696,-0.07878644535221069,-0.02611977027786855,-0.3350588765385629,-0.33906921683579677,-0.33071934296806516,-0.331050692659389,-0.04409993940231143,0.01810765805606537,0.0478652639112971,0.9134483756283922,0.8759007854516389,0.18673243139701268,-0.33088204449000724,-0.33032226471941595,-0.07736863559009789,-0.07017152301552032,0.10699798018965243,0.10575587077701828,-0.012215216228872864,-0.02558092233014945,-0.026791327681099597,,,,,,,,,,,,,,
D_atr_pct_z252,0.1295438947682192,-0.07413274627244104,0.17799364359546718,0.4556176801256208,0.0955794773630091,0.4564974503207578,1.0,0.36536249776525437,-0.11288764091232863,-0.06491128069552533,-0.03136148901264011,0.07236828868625764,0.06714423350556817,-0.048709127221522236,0.04578993161146575,0.04272917987750822,0.02140321909526141,0.021257251141076995,0.021107540101664348,-0.05013089502596791,-0.0580341048171387,0.022572867272055767,-0.09159183806249964,0.030062162167900402,-0.11360639753064948,-0.07563148249513417,0.0032910086955303098,0.013324813156149841,0.23315837303117318,0.09286001210922717,-0.0888917092892851,-0.13181902570098886,0.01463734201505394,0.005770742684213496,-0.022239780881773707,-0.09567481542128518,0.011897631412046208,0.16927943910754,0.014677545418713932,0.007624347106918025,-0.024188738390083824,-0.04490144495521292,0.022453531641079737,-0.018615333919996778,0.021257251141076995,0.021722184202522324,0.024596745021502907,-0.01259144787535974,0.019534017693809233,0.3443697590563558,0.08403633146307787,0.02352616535094966,0.025976777039049326,0.258076505650012,-0.09407710085155835,-0.045571218270403,-0.13967047241398467,-0.1200023903136091,-0.10875858911014766,-0.04464416207913178,0.018545979110001554,0.01601168076428781,0.02140321909526141,0.021107540101664348,-0.05013089502596791,-0.003784958159727411,0.025008458303790063,0.45205136222081443,0.29278204095412774,0.25036619759475215,0.021257251141076995,0.02164330870577584,-0.0768664987083807,-0.060688725909793344,0.18354265183965005,0.1869522817219111,-0.07653129338322857,-0.04163290002984034,-0.03858652682801217,,,,,,,,,,,,,,
D_bb_bw_20,0.011478067890333085,-0.018910719805462058,0.35199054320244466,0.6737228790746922,-0.03294755703187219,0.6788190158608306,0.36536249776525437,1.0,0.11885393519367814,0.13035983756524053,0.1758842383745534,0.009818456147825618,0.05106717328875686,0.14827445881773405,0.07266065724661024,0.25100805071777893,-0.15900814625943177,-0.15895744239495366,-0.15891203122733963,0.030377627623159237,0.011471599327662365,-0.2008578749604428,0.010442052903430562,-0.10190237428639515,0.14633030230250763,0.13515607241867145,-0.005213700752813933,0.04199740204089362,0.2431892859023758,0.1517089546172306,0.21182523426061084,0.1597492119842529,0.08118889749478013,-0.025771282115653035,0.11528331667256606,0.1344955089654597,0.09197018357247387,-0.016209417032449182,0.012255623193617046,0.01050158924709881,-0.04676837550626018,0.03050236081386167,-0.06110929509227968,0.24262929165649857,-0.15895744239495366,-0.159836560242326,-0.15701471882597745,-0.03135734244135824,-0.16324243454143966,0.4527918192406047,0.050326247905788754,-0.1559861942096821,-0.1532255082936372,0.6991407700486973,0.14821712494060155,0.03212145512058218,0.15899125082862367,0.12308493646056634,0.0326257883176796,0.03270564757772876,-0.1619960545675341,-0.16527748342892068,-0.15900814625943177,-0.15891203122733963,0.030377627623159237,0.013170402465292368,0.07751709514677692,0.6851225499054693,0.5768501320200291,0.21847918347616277,-0.15895744239495366,-0.15929086599802436,0.14957073396882134,0.14789963982709067,0.33389084549261067,0.3114213961817834,0.21122136649773496,0.03511935487731066,0.03915014184298698,,,,,,,,,,,,,,
D_bb_pctB_20,-0.004800448947535494,0.29968456499640733,0.18508259723040543,-0.08038111764183803,-0.012501911785042797,-0.0830899025506535,-0.11288764091232863,0.11885393519367814,1.0,0.5522168385019144,0.4601364328006922,-0.4514593491234521,-0.33525631574268033,0.6425179506737657,0.24968463814712377,0.4582963497577552,0.01690608315783488,0.017712209831158284,0.018514608703487395,0.42431846529304657,0.359493528262608,-0.6477101478537093,0.5041940305464581,0.14007434699923302,0.931475754877564,0.7613790514755205,-0.010408246178024627,0.3097738473434702,0.38988313992227097,0.3808404056381469,0.9219802969347964,0.8736121972353286,0.18951298514189857,-0.007916701516444618,0.5626568225025567,0.6781985187432767,0.3781446396746347,-0.6974613106196119,-0.0558163398761864,-0.05422774502736054,-0.027349812105407652,0.3613793184780524,-0.253260412520057,0.7545986079313218,0.017712209831158284,0.012214257936354734,0.010699153609017506,-0.007737375342783299,0.00924540231235168,0.0652200298997837,0.1621830639679232,0.019337526737703663,0.019354167829691765,0.03521774143096064,0.904137540987803,0.35729690960519556,0.864202635720344,0.9588680134776952,0.6386377291112697,0.34911567192464343,0.017638343542693086,0.01583804145872317,0.01690608315783488,0.018514608703487395,0.42431846529304657,0.18384541501814655,0.22091376060023948,0.07632618624163988,0.04992594212318651,0.3244167092247476,0.017712209831158284,0.014757967374583078,0.799613303317685,0.7011755072031136,0.1583784769035209,0.13631939351305797,0.820469761118942,0.33289348602784663,0.2845543132153375,,,,,,,,,,,,,,
D_breakout_high_20,0.0009293658819237207,0.14794303969127598,0.1171471194126426,-0.046263307812637496,-0.0054322478782966215,-0.04737261626408321,-0.06491128069552533,0.13035983756524053,0.5522168385019144,1.0,0.8226539265629675,-0.12758029428404236,-0.0937796653909872,0.31800553930632164,0.12562699025831559,0.29482474805845454,0.011031734546144447,0.01149526708486186,0.01195502147065113,0.3623104563194414,0.4227064844424942,-0.6104501901980313,0.19824935852660133,0.1784962282964914,0.5767087789366362,0.47147203070262295,-0.0033705337055088807,0.38234645084568375,0.3730201684535449,0.397261366549322,0.4960255010172293,0.4844643595739609,0.19418613936333468,-0.18880885414476803,0.28303153358733874,0.3701506410593328,0.18391624194019016,-0.3886591641815316,-0.14191581114958013,-0.12212210469992354,0.00754244600445446,0.2751591746730358,-0.20439565966944429,0.4422738783721411,0.01149526708486186,0.006547878163673525,0.004814518751718141,-0.04949584527678464,0.003478705413959404,0.1890502306601673,0.29635257201360293,0.013903267075783078,0.015308375921185818,0.03781637053628882,0.49809627780150756,0.28897561563023205,0.4744854686286662,0.537483833510228,0.36522427607607677,0.2913171679723189,0.009877051142466965,0.0071625118863360895,0.011031734546144447,0.01195502147065113,0.3623104563194414,0.311666433498698,0.34573216417288155,0.03825030003348119,0.026306081188161395,0.3467779137754048,0.01149526708486186,0.008816960037062487,0.4263407963490269,0.3435644202582265,0.07639216538639826,0.05298320423219211,0.4320486537504186,0.274975313177867,0.17574423453992952,,,,,,,,,,,,,,
