feature,imp_low_insample,imp_low_to_high,generalization_ratio_low,imp_high_insample,imp_high_to_low,generalization_ratio_high,avg_generalization_ratio
DayType_bearish,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DayType_inside,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Below,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Tmr_Above,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Tmr_Below,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Inside,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DayType_bullish,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regime_dispersion,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Tmr_Inside,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regime_market_trend,0.0,0.0,0.0,0.0,0.0,0.0,0.0
regime_high_vol,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Tmr_Overlap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CPR_Yday_Above,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_breakout_high_20,0.0,0.0,0.0,0.014005051054717414,0.014005051054717414,1.0,0.5
D_vol_surge_50,0.0,0.0,0.0,0.00664425174537986,0.00664425174537986,1.0,0.5
D_cpr_bc,0.31351946676677894,0.31351946676677894,1.0,0.3516976779154724,0.3516976779154724,1.0,1.0
D_atr14,1.6955947313980158,1.6955947313980158,1.0,1.9644757936563875,1.9644757936563875,1.0,1.0
D_adx14,1.1960171018133707,1.1960171018133707,1.0,1.737472116765592,1.737472116765592,1.0,1.0
D_cpr_width_pct,1.127872549484879,1.127872549484879,1.0,1.1463298772276496,1.1463298772276496,1.0,1.0
D_atr30,1.8235482346969947,1.8235482346969947,1.0,2.3492220139303432,2.3492220139303432,1.0,1.0
D_atr_pct,1.390613072449778,1.390613072449778,1.0,1.5042815255806583,1.5042815255806583,1.0,1.0
D_atr_pct_z252,3.04634600078579,3.04634600078579,1.0,3.835874435215151,3.835874435215151,1.0,1.0
D_atr14_to_close_pct,1.6727789456727582,1.6727789456727582,1.0,1.8786059771541734,1.8786059771541734,1.0,1.0
D_bb_bw_20,3.1902591742431987,3.1902591742431987,1.0,3.8650658560121682,3.8650658560121682,1.0,1.0
D_bb_pctB_20,1.5749954115598293,1.5749954115598293,1.0,1.3173974940359137,1.3173974940359137,1.0,1.0
D_breakout_high_50,0.0021711616815802215,0.0021711616815802215,1.0,0.003502721424611863,0.003502721424611863,1.0,1.0
D_breakout_low_20,0.009100578172327132,0.009100578172327132,1.0,0.0028680189349495787,0.0028680189349495787,1.0,1.0
D_breakout_low_50,0.031402089779381595,0.031402089779381595,1.0,0.010575366275805803,0.010575366275805803,1.0,1.0
D_close_roll_slope_20,1.657970104292955,1.657970104292955,1.0,1.8584812115883826,1.8584812115883826,1.0,1.0
D_close_roll_slope_50,2.2214641964599364,2.2214641964599364,1.0,3.0699238284532973,3.0699238284532973,1.0,1.0
D_cmf20,3.8827898632883695,3.8827898632883695,1.0,4.426842846161358,4.426842846161358,1.0,1.0
D_gap_pct,2.870017142995807,2.870017142995807,1.0,1.6453905867025245,1.6453905867025245,1.0,1.0
D_inside_day,0.009627364168665671,0.009627364168665671,1.0,0.07214769403183667,0.07214769403183667,1.0,1.0
D_macd,1.5073924311077858,1.5073924311077858,1.0,1.5253041634172884,1.5253041634172884,1.0,1.0
D_macd_hist,1.8407898804048899,1.8407898804048899,1.0,2.0193438194236086,2.0193438194236086,1.0,1.0
D_macd_signal,2.784022734595503,2.784022734595503,1.0,1.7504060242415278,1.7504060242415278,1.0,1.0
D_mdi14,1.934798780816724,1.934798780816724,1.0,1.5011933017225496,1.5011933017225496,1.0,1.0
D_nr_day,0.08248590976313477,0.08248590976313477,1.0,0.10912455039856367,0.10912455039856367,1.0,1.0
D_nr_length,0.002547336738207962,0.002547336738207962,1.0,0.0036837123178240392,0.0036837123178240392,1.0,1.0
D_obv,4.229725677128571,4.229725677128571,1.0,5.636001727027393,5.636001727027393,1.0,1.0
D_obv_slope,0.935694004889605,0.935694004889605,1.0,0.6376192299233003,0.6376192299233003,1.0,1.0
D_oli,0.8610509111362593,0.8610509111362593,1.0,0.8162028934290262,0.8162028934290262,1.0,1.0
D_pdi14,2.2561687578684957,2.2561687578684957,1.0,1.8580455055963772,1.8580455055963772,1.0,1.0
D_pivot,0.05544407840482638,0.05544407840482638,1.0,0.07114870369851312,0.07114870369851312,1.0,1.0
D_prev_close,0.3851143080953292,0.3851143080953292,1.0,0.46560355061513053,0.46560355061513053,1.0,1.0
D_prev_high,0.6778209357670073,0.6778209357670073,1.0,0.6579452702387151,0.6579452702387151,1.0,1.0
D_prev_inside_day,0.08204997745659365,0.08204997745659365,1.0,0.004127420836909484,0.004127420836909484,1.0,1.0
D_prev_low,1.0198557330430018,1.0198557330430018,1.0,0.6090887769650176,0.6090887769650176,1.0,1.0
D_cpr_pivot,0.33184725547039245,0.33184725547039245,1.0,0.2812692229155303,0.2812692229155303,1.0,1.0
D_cpr_tc,0.4833537002243974,0.4833537002243974,1.0,0.42118040744967156,0.42118040744967156,1.0,1.0
D_cpr_vs_yday_code,0.15083681472349994,0.15083681472349994,1.0,0.03447854973502941,0.03447854973502941,1.0,1.0
D_daily_trend,0.1608766212610488,0.1608766212610488,1.0,0.03536478556322656,0.03536478556322656,1.0,1.0
D_days_since_boh_20,2.408713703145308,2.408713703145308,1.0,2.875938194147773,2.875938194147773,1.0,1.0
D_days_since_bol_20,2.8803087683152304,2.8803087683152304,1.0,3.0908483781493667,3.0908483781493667,1.0,1.0
D_dollar_vol,2.2699391198992904,2.2699391198992904,1.0,1.580006568475183,1.580006568475183,1.0,1.0
