feature,gain_pct,split_pct,gain_rank,mean_abs_ic,ic_pos_pct,ic_sign_flip,stability_yearly,stability_quarterly,avg_generalization_ratio,auc_drop,flag_low_ic,flag_unstable_yr,flag_unstable_qtr,flag_poor_gen,flag_perm_useless,flag_sign_flip,total_flags,recommendation
D_breakout_high_20,0.0386,0.0211,69,0.0368,0.1429,0.14285714285714285,-0.2593,-0.5468,0.5,,0,1,1,1,0,0,3,DROP
D_prev_inside_day,0.0361,0.0687,70,0.0087,0.7143,0.14285714285714285,0.3443,0.2217,1.0,,1,1,1,0,0,0,3,DROP
D_inside_day,0.0293,0.0476,71,0.0118,0.7143,0.14285714285714285,-0.1325,-0.0584,1.0,,1,1,1,0,0,0,3,DROP
D_breakout_low_50,0.0157,0.0264,72,0.0159,0.4286,0.5714285714285714,0.2556,-0.886,1.0,,1,1,1,0,0,1,4,DROP
D_nr_length,0.0094,0.0264,76,0.0184,0.8571,0.14285714285714285,0.2043,0.0502,1.0,,1,1,1,0,0,0,3,DROP
D_breakout_low_20,0.0079,0.0106,77,0.0196,0.5714,0.7142857142857143,0.1168,-1.0,1.0,,1,1,1,0,0,1,4,DROP
D_vol_surge_50,0.0077,0.0159,78,0.0343,0.0,0.0,0.2741,-1.0,0.5,,0,1,1,1,0,0,3,DROP
CPR_Yday_Above,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
CPR_Yday_Below,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
CPR_Yday_Inside,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
CPR_Yday_Overlap,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
CPR_Tmr_Above,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
CPR_Tmr_Below,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
CPR_Tmr_Inside,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
CPR_Tmr_Overlap,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
DayType_bullish,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
DayType_bearish,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
DayType_inside,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
regime_market_trend,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
regime_high_vol,0.0,0.0,86,,0.0,,0.0,0.0,0.0,,0,1,1,1,0,0,3,DROP
regime_dispersion,0.0,0.0,86,,0.0,,0.0,0.0,0.0,0.0,0,1,1,1,1,0,4,DROP
D_gap_pct,3.0337,1.9079,8,0.0126,0.1429,0.14285714285714285,0.6643,0.7496,1.0,,1,0,0,0,0,0,1,REVIEW
D_close_roll_slope_50,2.6343,2.9332,10,0.0086,0.7143,0.5714285714285714,0.8032,0.7426,1.0,,1,0,0,0,0,1,2,REVIEW
D_days_since_bol_20,2.4499,2.9121,11,0.0155,0.5714,0.5714285714285714,0.7223,0.6658,1.0,,1,0,0,0,0,1,2,REVIEW
